Player,Span,Matches,Innings,NO,Runs,Highest_Score,Average,100s,50s,0s,Country
DA Marillier,2000-2003,53,48.0,5.0,858.0,100.0,19.95,1.0,5.0,4.0,ZIM
Hammad Mirza,2024-2026,39,39.0,4.0,857.0,112.0,24.48,1.0,5.0,2.0,OMA
SM Warnapura,2007-2009,17,27.0,1.0,856.0,120.0,32.92,2.0,7.0,6.0,SL
TJ Franklin,1983-1991,24,40.0,1.0,855.0,101.0,21.92,1.0,4.0,3.0,NZ
TG McIntosh,2008-2011,17,33.0,2.0,854.0,136.0,27.54,2.0,4.0,5.0,NZ
DJM Short,2018-2020,31,31.0,3.0,853.0,76.0,30.46,0.0,5.0,2.0,AUS
RE van der Merwe,2009-2026,110,73.0,26.0,853.0,75.0,18.14,0.0,3.0,10.0,SA
T Manders,2021-2025,29,29.0,4.0,852.0,84.0,34.08,0.0,7.0,3.0,BER
C Sharma,1983-1994,88,62.0,25.0,852.0,101.0,23.02,1.0,1.0,5.0,IND
J Arun Lal,1982-1989,29,42.0,1.0,851.0,93.0,20.75,0.0,7.0,5.0,IND
H Trumble,1890-1904,32,57.0,14.0,851.0,70.0,19.79,0.0,4.0,7.0,AUS
AR Ramjani,2022-2025,65,45.0,11.0,850.0,78.0,25.0,0.0,5.0,3.0,UGA
S Movva,2021-2026,52,45.0,11.0,846.0,68.0,24.88,0.0,3.0,1.0,CAN
Mohammad Ihsan,2022-2025,24,24.0,6.0,845.0,160.0,46.94,3.0,1.0,0.0,ESP
SKS Gill,2022-2025,36,36.0,3.0,844.0,67.0,25.57,0.0,3.0,4.0,LUX
JM Davison,2003-2011,37,37.0,2.0,843.0,111.0,24.08,1.0,5.0,7.0,CAN
BMAJ Mendis,2010-2019,80,59.0,14.0,843.0,72.0,18.73,0.0,1.0,3.0,SL
KS Leverock,2019-2023,29,29.0,4.0,842.0,103.0,33.68,1.0,4.0,4.0,BER
RWT Key,2002-2009,21,32.0,2.0,839.0,221.0,27.96,1.0,3.0,3.0,ENG
GH Vihari,2018-2022,16,28.0,3.0,839.0,111.0,33.56,1.0,5.0,1.0,IND
D Lloyd,1973-1980,17,23.0,3.0,837.0,214.0,41.85,2.0,0.0,0.0,ENG
AM Samad,2003-2010,34,33.0,2.0,837.0,130.0,27.0,1.0,2.0,3.0,CAN
Sami Aslam,2015-2017,17,29.0,1.0,836.0,91.0,29.85,0.0,7.0,0.0,PAK
BJ Curran,2024-2025,16,23.0,1.0,835.0,121.0,37.95,2.0,3.0,1.0,ZIM
SJ Harmison,2002-2009,123,111.0,37.0,834.0,49.0,11.27,0.0,0.0,24.0,ENG
G Mckeon,2022-2026,25,25.0,1.0,834.0,109.0,34.75,2.0,4.0,2.0,Fran
C Rubagumya,2021-2025,91,75.0,14.0,834.0,40.0,13.67,0.0,0.0,11.0,RWN
Saif Hassan,2020-2026,36,40.0,3.0,834.0,80.0,22.54,0.0,5.0,6.0,BAN
PBB Rajapaksa,2019-2025,50,45.0,7.0,833.0,77.0,21.92,0.0,4.0,6.0,SL
Saqlain Arshad,2019-2026,43,42.0,2.0,830.0,76.0,20.75,0.0,4.0,4.0,QAT
DG Bedingham,2023-2025,15,26.0,3.0,828.0,110.0,36.0,1.0,4.0,2.0,SA
G Motie,2021-2026,96,64.0,22.0,827.0,63.0,19.69,0.0,3.0,6.0,WI
Nafees Iqbal,2003-2006,27,38.0,0.0,827.0,121.0,21.76,1.0,4.0,3.0,BAN
B Arora,2019-2024,56,51.0,9.0,826.0,66.0,19.66,0.0,3.0,2.0,MLT
AJ Bichel,1997-2004,86,58.0,14.0,826.0,71.0,18.77,0.0,2.0,8.0,AUS
L Yamamoto-Lake,2022-2025,42,42.0,3.0,825.0,134.0,21.15,1.0,4.0,7.0,JPN
KJ Funston,1952-1958,18,33.0,1.0,824.0,92.0,25.75,0.0,5.0,2.0,SA
MB Kruger,2024-2026,49,46.0,2.0,824.0,80.0,18.72,0.0,3.0,1.0,NAM
Mohammad Sami,2001-2016,136,106.0,36.0,822.0,49.0,11.74,0.0,0.0,13.0,PAK
IO Okpe,2019-2025,84,69.0,13.0,822.0,65.0,14.67,0.0,2.0,5.0,NGA
SR Patel,2008-2015,60,45.0,9.0,822.0,70.0,22.83,0.0,2.0,5.0,ENG
R Trumpelmann,2021-2026,98,70.0,20.0,820.0,55.0,16.4,0.0,2.0,7.0,NAM
AJ Pithey,1957-1965,17,27.0,1.0,819.0,154.0,31.5,1.0,4.0,2.0,SA
WW Hall,1958-1969,48,66.0,14.0,818.0,50.0,15.73,0.0,2.0,7.0,WI
MR Swart,2011-2016,38,36.0,3.0,818.0,89.0,24.78,0.0,5.0,2.0,NED
CN Evans,1992-2003,56,53.0,5.0,816.0,96.0,17.0,0.0,2.0,3.0,ZIM
CA Best,1986-1992,32,36.0,5.0,815.0,164.0,26.29,2.0,3.0,3.0,WI
J Briggs,1884-1899,33,50.0,5.0,815.0,121.0,18.11,1.0,2.0,10.0,ENG
WD Parnell,2009-2023,135,70.0,28.0,815.0,56.0,19.4,0.0,1.0,4.0,SA
AR MacGibbon,1951-1958,26,46.0,5.0,814.0,66.0,19.85,0.0,3.0,7.0,NZ
TR Veivers,1963-1967,21,30.0,4.0,813.0,88.0,31.26,0.0,7.0,3.0,AUS
BR Knight,1961-1969,29,38.0,7.0,812.0,127.0,26.19,2.0,0.0,2.0,ENG
NN Odhiambo,2006-2022,112,84.0,14.0,812.0,66.0,11.6,0.0,1.0,15.0,KENYA
NWD Yardley,1938-1950,20,34.0,2.0,812.0,99.0,25.37,0.0,4.0,2.0,ENG
AJ Watkins,1948-1952,15,24.0,4.0,810.0,137.0,40.5,2.0,4.0,2.0,ENG
MW Short,2023-2026,42,38.0,2.0,808.0,74.0,22.44,0.0,4.0,3.0,AUS
FA Iredale,1894-1899,14,23.0,1.0,807.0,140.0,36.68,2.0,4.0,2.0,AUS
JW Hearne,1911-1926,24,36.0,5.0,806.0,114.0,26.0,1.0,2.0,3.0,ENG
RB Patel,2021-2024,42,39.0,8.0,805.0,68.0,25.96,0.0,4.0,3.0,UGA
CJ Jordan,2013-2024,138,92.0,35.0,803.0,38.0,14.08,0.0,0.0,6.0,ENG
Manan Ali,2023-2025,47,43.0,8.0,803.0,52.0,22.94,0.0,1.0,4.0,KSA
Yasir Ali,2019-2025,43,39.0,8.0,803.0,80.0,25.9,0.0,4.0,3.0,ESP
CO Browne,1995-2005,66,62.0,14.0,802.0,68.0,16.7,0.0,1.0,10.0,WI
RT Latham,1990-1994,37,40.0,4.0,802.0,119.0,22.27,1.0,1.0,4.0,NZ
S Venkataraghavan,1965-1983,72,85.0,16.0,802.0,64.0,11.62,0.0,2.0,15.0,IND
AM Tribe,2021-2025,31,29.0,3.0,801.0,115.0,30.8,1.0,5.0,1.0,JER
Wazir Mohammad,1952-1959,20,33.0,4.0,801.0,189.0,27.62,2.0,3.0,8.0,PAK
JM Blackham,1877-1894,35,62.0,11.0,800.0,74.0,15.68,0.0,4.0,6.0,AUS
SM Sharif,2011-2026,167,92.0,44.0,800.0,40.0,16.66,0.0,0.0,8.0,SCOT
AV Lazarus,2024-2026,37,36.0,6.0,799.0,95.0,26.63,0.0,5.0,1.0,THA
Ravinderpal Singh,2019-2025,49,42.0,8.0,799.0,101.0,23.5,1.0,1.0,4.0,CAN
H Hiri,2016-2024,62,56.0,8.0,797.0,77.0,16.6,0.0,2.0,3.0,PNG
AC Agar,2013-2024,76,54.0,11.0,796.0,98.0,18.51,0.0,1.0,7.0,AUS
AC Botha,2006-2011,56,49.0,5.0,796.0,56.0,18.09,0.0,2.0,7.0,IRE
Walid Ghauri,2019-2025,28,27.0,3.0,796.0,100.0,33.16,1.0,4.0,0.0,NOR
IA De Silva,2020-2022,35,34.0,2.0,795.0,100.0,24.84,1.0,4.0,3.0,BUL
SAR Silva,1983-1988,29,36.0,2.0,794.0,111.0,23.35,2.0,3.0,2.0,SL
Selim Salau,2024-2025,33,32.0,0.0,793.0,112.0,24.78,1.0,1.0,1.0,NGA
Zeeshan Kukikhel,2021-2025,27,27.0,1.0,793.0,137.0,30.5,1.0,5.0,1.0,HUN
ALF de Mel,1982-1987,74,69.0,14.0,792.0,36.0,14.4,0.0,0.0,11.0,SL
IH Romaine,2006-2009,37,36.0,3.0,792.0,101.0,24.0,1.0,4.0,5.0,BER
GH Hirst,1897-1909,24,38.0,3.0,790.0,85.0,22.57,0.0,5.0,5.0,ENG
C Madande,2022-2026,59,49.0,8.0,790.0,74.0,19.26,0.0,3.0,5.0,ZIM
GB Hole,1951-1955,18,33.0,2.0,789.0,66.0,25.45,0.0,6.0,2.0,AUS
PJ Sharpe,1963-1969,12,21.0,4.0,786.0,111.0,46.23,1.0,4.0,1.0,ENG
Azyan Farhath,2019-2024,35,35.0,7.0,784.0,66.0,28.0,0.0,5.0,0.0,MDV
S Ranatunga,1994-1997,22,28.0,1.0,784.0,118.0,29.03,2.0,4.0,1.0,SL
CF Walters,1933-1934,11,18.0,3.0,784.0,102.0,52.26,1.0,7.0,0.0,ENG
W Mathias,1955-1962,21,36.0,3.0,783.0,77.0,23.72,0.0,3.0,3.0,PAK
Umar Adam,2019-2024,46,45.0,1.0,783.0,56.0,17.79,0.0,4.0,5.0,MDV
KK Jennings,2016-2019,17,32.0,1.0,781.0,146.0,25.19,2.0,1.0,4.0,ENG
C Karunaratne,2019-2025,72,62.0,23.0,781.0,75.0,20.02,0.0,1.0,8.0,SL
Naved-ul-Hasan,2003-2010,87,68.0,22.0,781.0,42.0,16.97,0.0,0.0,6.0,PAK
JA Snow,1965-1976,58,75.0,16.0,781.0,73.0,13.23,0.0,2.0,17.0,ENG
DS de Silva,1975-1985,53,51.0,13.0,777.0,61.0,20.44,0.0,2.0,3.0,SL
M Dillon,1997-2005,146,119.0,23.0,776.0,43.0,8.08,0.0,0.0,35.0,WI
NRD Compton,2012-2016,16,30.0,3.0,775.0,117.0,28.7,2.0,2.0,3.0,ENG
SN Thakur,2017-2025,85,52.0,10.0,775.0,67.0,18.45,0.0,5.0,6.0,IND
CH Morris,2012-2019,69,47.0,8.0,773.0,69.0,19.82,0.0,3.0,3.0,SA
S Adedeji,2019-2025,47,44.0,7.0,772.0,68.0,20.86,0.0,3.0,3.0,NGA
Afsar Zazai,2013-2025,34,39.0,2.0,772.0,113.0,20.86,1.0,2.0,4.0,AFG
WKM Benjamin,1986-1995,106,78.0,13.0,768.0,85.0,11.81,0.0,2.0,14.0,WI
TS Bharaj,2019-2025,35,34.0,3.0,768.0,63.0,24.77,0.0,6.0,1.0,DEN
NM Hauritz,2002-2011,78,58.0,24.0,768.0,75.0,22.58,0.0,3.0,1.0,AUS
DAJ Holford,1966-1977,24,39.0,5.0,768.0,105.0,22.58,1.0,3.0,3.0,WI
B Wood,1972-1982,25,33.0,2.0,768.0,90.0,24.77,0.0,4.0,2.0,ENG
Aayan Afzal Khan,2022-2025,75,52.0,13.0,767.0,94.0,19.66,0.0,3.0,7.0,UAE
RDB Croft,1996-2001,71,70.0,20.0,766.0,37.0,15.32,0.0,0.0,6.0,ENG
YSD Seneveratne,2019-2026,29,29.0,7.0,766.0,150.0,34.81,1.0,3.0,1.0,CAY
M Taylor,2021-2025,36,36.0,1.0,766.0,71.0,21.88,0.0,5.0,4.0,BHM
Khushdil Shah,2019-2025,53,45.0,10.0,762.0,69.0,21.77,0.0,1.0,0.0,PAK
H Patel,2009-2021,38,38.0,2.0,762.0,88.0,21.16,0.0,4.0,5.0,CAN
GD McGrath,1993-2007,376,207.0,89.0,761.0,61.0,6.44,0.0,1.0,49.0,AUS
A Dizija,2022-2025,37,36.0,1.0,758.0,92.0,21.65,0.0,6.0,3.0,SRB
YS Samra,2025-2026,28,26.0,3.0,758.0,110.0,32.95,1.0,4.0,1.0,CAN
LE Favell,1954-1961,19,31.0,3.0,757.0,101.0,27.03,1.0,5.0,2.0,AUS
GR Larsen,1990-1999,129,83.0,31.0,756.0,37.0,14.53,0.0,0.0,8.0,NZ
R Obuya,2023-2025,41,39.0,4.0,755.0,83.0,21.57,0.0,5.0,5.0,UGA
Bilal Tahir,2019-2026,63,53.0,15.0,754.0,61.0,19.84,0.0,1.0,4.0,KUW
SA Okpe,2019-2025,81,61.0,14.0,754.0,45.0,16.04,0.0,0.0,5.0,NGA
KNM Fernando,2023-2025,18,25.0,1.0,753.0,205.0,31.37,1.0,4.0,2.0,SL
KAR Hodge,2023-2025,17,29.0,1.0,751.0,123.0,26.82,2.0,3.0,5.0,WI
MA Jones,2018-2026,31,29.0,1.0,751.0,87.0,26.82,0.0,5.0,1.0,SCOT
GOB Allen,1930-1948,25,33.0,2.0,750.0,122.0,24.19,1.0,3.0,1.0,ENG
Nasim-ul-Ghani,1958-1973,30,51.0,5.0,748.0,101.0,16.26,1.0,2.0,8.0,PAK
S Wickramasekara,2019-2023,34,33.0,6.0,748.0,104.0,27.7,1.0,6.0,3.0,CZK-R
AA Donald,1991-2003,236,134.0,51.0,747.0,37.0,9.0,0.0,0.0,29.0,SA
CD Wallace,2012-2022,53,44.0,7.0,747.0,58.0,20.18,0.0,4.0,2.0,SCOT
VA Holder,1969-1979,52,65.0,12.0,746.0,42.0,14.07,0.0,0.0,8.0,WI
R Abel,1888-1902,13,22.0,2.0,744.0,132.0,37.2,2.0,2.0,1.0,ENG
SB Doull,1992-2000,74,77.0,24.0,742.0,46.0,14.0,0.0,0.0,12.0,NZ
GAR Lock,1952-1968,49,63.0,9.0,742.0,89.0,13.74,0.0,3.0,8.0,ENG
AFG Griffith,1996-2000,23,35.0,2.0,737.0,114.0,22.33,1.0,4.0,4.0,WI
Sandeep Goud,2019-2024,69,49.0,13.0,737.0,67.0,20.47,0.0,3.0,3.0,OMA
RS Modi,1946-1952,10,17.0,1.0,736.0,112.0,46.0,1.0,6.0,0.0,IND
K Waiswa,2020-2024,73,57.0,11.0,736.0,66.0,16.0,0.0,1.0,6.0,UGA
EAS Prasanna,1962-1978,49,84.0,20.0,735.0,37.0,11.48,0.0,0.0,15.0,IND
FR Brown,1931-1953,22,30.0,1.0,734.0,79.0,25.31,0.0,5.0,1.0,ENG
Junaid Aziz,2020-2025,80,50.0,16.0,734.0,52.0,21.58,0.0,1.0,1.0,BHR
RW Morgan,1965-1972,20,34.0,1.0,734.0,97.0,22.24,0.0,5.0,5.0,NZ
TW Nightingale,2020-2025,40,37.0,2.0,733.0,75.0,20.94,0.0,3.0,2.0,GUE
O Harvey,2021-2026,46,42.0,6.0,733.0,107.0,20.36,1.0,1.0,4.0,GHA
CJ Nevin,2000-2003,37,36.0,0.0,732.0,74.0,20.33,0.0,4.0,4.0,NZ
JJ Lyons,1887-1897,14,27.0,0.0,731.0,134.0,27.07,1.0,3.0,1.0,AUS
CT Radley,1978-1978,12,14.0,1.0,731.0,158.0,56.23,3.0,3.0,1.0,ENG
JR Hazlewood,2010-2025,232,146.0,85.0,729.0,39.0,11.95,0.0,0.0,19.0,AUS
DR Tuffey,2000-2010,123,90.0,32.0,727.0,80.0,12.53,0.0,1.0,14.0,NZ
Taskin Ahmed,2014-2026,189,116.0,35.0,726.0,75.0,8.96,0.0,1.0,19.0,BAN
W Barnes,1880-1890,21,33.0,2.0,725.0,134.0,23.38,1.0,5.0,3.0,ENG
Basil George,2021-2024,34,34.0,2.0,724.0,103.0,22.62,1.0,3.0,2.0,MLT
R Mazumder,2021-2026,30,29.0,6.0,724.0,80.0,31.47,0.0,5.0,1.0,CYP
CB van Ryneveld,1951-1958,19,33.0,6.0,724.0,83.0,26.81,0.0,3.0,2.0,SA
CS Dempster,1930-1933,10,15.0,4.0,723.0,136.0,65.72,2.0,5.0,0.0,NZ
DLS van Bunge,2002-2013,51,43.0,5.0,723.0,80.0,19.02,0.0,3.0,4.0,NED
JN Mohammed,2011-2021,45,39.0,5.0,720.0,91.0,21.17,0.0,4.0,3.0,WI
WW Read,1882-1893,18,27.0,1.0,720.0,117.0,27.69,1.0,5.0,0.0,ENG
RK Singh,2023-2026,47,35.0,16.0,720.0,69.0,37.89,0.0,3.0,2.0,IND
Tapash Baisya,2002-2007,77,81.0,19.0,720.0,66.0,11.61,0.0,2.0,13.0,BAN
Ali Naseer,2023-2024,57,45.0,10.0,717.0,61.0,20.48,0.0,3.0,2.0,UAE
Asim Kamal,2003-2005,12,20.0,1.0,717.0,99.0,37.73,0.0,8.0,2.0,PAK
D Doyle-Calle,2022-2025,35,31.0,6.0,717.0,72.0,28.68,0.0,3.0,0.0,ESP
MJ Lumb,2010-2014,30,30.0,1.0,717.0,106.0,24.72,1.0,3.0,1.0,ENG
IJ Harvey,1997-2004,73,51.0,11.0,715.0,48.0,17.87,0.0,0.0,2.0,AUS
Parvez Hossain Emon,2022-2025,33,33.0,2.0,715.0,100.0,23.06,1.0,4.0,7.0,BAN
AV Bedser,1946-1955,51,71.0,15.0,714.0,79.0,12.75,0.0,1.0,11.0,ENG
KD Boyce,1971-1976,29,34.0,3.0,714.0,95.0,23.03,0.0,4.0,4.0,WI
C Chatphaisan,2022-2026,58,56.0,3.0,714.0,70.0,13.47,0.0,2.0,13.0,THA
RG Archer,1953-1956,19,30.0,1.0,713.0,128.0,24.58,1.0,2.0,4.0,AUS
Aritra Dutta,2019-2025,37,37.0,1.0,712.0,122.0,19.77,1.0,2.0,2.0,SGP
MH Dekker,1992-1996,37,44.0,3.0,712.0,79.0,17.36,0.0,4.0,4.0,ZIM
R Rampaul,2003-2021,137,78.0,24.0,712.0,86.0,13.18,0.0,1.0,9.0,WI
H Singh,2019-2025,42,38.0,7.0,711.0,70.0,22.93,0.0,3.0,2.0,GER
J Mees,2019-2024,40,39.0,7.0,709.0,85.0,22.15,0.0,3.0,4.0,LUX
Ghulam Shabber,2016-2019,40,37.0,3.0,708.0,90.0,20.82,0.0,5.0,2.0,UAE
W Niyitanga,2021-2024,61,60.0,5.0,708.0,55.0,12.87,0.0,2.0,7.0,RWN
R Bakum,2019-2024,42,41.0,4.0,706.0,71.0,19.08,0.0,4.0,4.0,GHA
VY Richardson,1924-1936,19,30.0,0.0,706.0,138.0,23.53,1.0,1.0,5.0,AUS
SJ Benn,2008-2016,97,76.0,16.0,705.0,42.0,11.75,0.0,0.0,13.0,WI
IC Davis,1973-1977,18,30.0,2.0,704.0,105.0,25.14,1.0,4.0,4.0,AUS
KD Petersen,2021-2024,14,25.0,0.0,704.0,82.0,28.16,0.0,4.0,0.0,SA
W Bruce,1885-1895,14,26.0,2.0,702.0,80.0,29.25,0.0,5.0,1.0,AUS
ARS Silva,2017-2019,12,23.0,3.0,702.0,109.0,35.1,1.0,5.0,2.0,SL
DJ Capel,1987-1990,38,44.0,3.0,701.0,98.0,17.09,0.0,3.0,4.0,ENG
Lakshit Gupta,2023-2025,35,35.0,5.0,700.0,62.0,23.33,0.0,3.0,1.0,CAM
A Mansale,2019-2024,34,33.0,4.0,699.0,82.0,24.1,0.0,5.0,5.0,VAN
JJ Atkinson,2008-2024,38,36.0,4.0,698.0,68.0,21.81,0.0,4.0,5.0,HKG
EL Dalton,1929-1939,15,24.0,2.0,698.0,117.0,31.72,2.0,3.0,1.0,SA
CL King,1976-1980,27,30.0,5.0,698.0,100.0,27.92,1.0,3.0,5.0,WI
Naimur Rahman,1995-2002,37,42.0,3.0,698.0,48.0,17.89,0.0,0.0,4.0,BAN
Anjar Tadarus,2022-2025,73,61.0,10.0,696.0,59.0,13.64,0.0,1.0,8.0,INA
JS Malhotra,2019-2022,35,33.0,5.0,696.0,173.0,24.85,1.0,2.0,2.0,USA
G Kansonkho,2019-2026,59,50.0,7.0,693.0,52.0,16.11,0.0,1.0,4.0,MWI
CB Lambert,1990-2004,17,21.0,0.0,691.0,119.0,32.9,2.0,3.0,2.0,WI
A Mishra,2003-2017,68,44.0,5.0,691.0,84.0,17.71,0.0,4.0,7.0,IND
MRJ Veletta,1987-1990,28,30.0,4.0,691.0,68.0,26.57,0.0,2.0,2.0,AUS
Mehrab Hossain,1998-2003,27,36.0,0.0,690.0,101.0,19.16,1.0,3.0,4.0,BAN
SK Patel,2024-2025,22,22.0,2.0,690.0,152.0,34.5,1.0,3.0,2.0,USA
TB Robinson,2024-2026,32,29.0,3.0,690.0,106.0,26.53,1.0,2.0,2.0,NZ
BS Bedi,1966-1979,77,108.0,30.0,687.0,50.0,8.8,0.0,1.0,21.0,IND
Hanumant Singh,1964-1969,14,24.0,2.0,686.0,105.0,31.18,1.0,5.0,3.0,IND
CJ Ferguson,2009-2016,34,30.0,9.0,683.0,71.0,32.52,0.0,5.0,1.0,AUS
AO Malhotra,1982-1986,27,29.0,5.0,683.0,72.0,28.45,0.0,2.0,2.0,IND
B Ward,2019-2025,48,39.0,10.0,683.0,58.0,23.55,0.0,1.0,1.0,JER
FL Fane,1906-1910,14,27.0,1.0,682.0,143.0,26.23,1.0,3.0,3.0,ENG
NAM McLean,1996-2003,64,66.0,10.0,682.0,50.0,12.17,0.0,1.0,13.0,WI
RW Price,1999-2013,140,106.0,29.0,682.0,46.0,8.85,0.0,0.0,17.0,ZIM
DS Steele,1975-1976,9,17.0,0.0,681.0,106.0,40.05,1.0,5.0,1.0,ENG
B Bhandari,2014-2024,57,45.0,7.0,680.0,59.0,17.89,0.0,3.0,1.0,NEP
A Bacher,1965-1970,12,22.0,1.0,679.0,73.0,32.33,0.0,6.0,1.0,SA
A Limdawala,2022-2026,57,44.0,5.0,678.0,68.0,17.38,0.0,3.0,2.0,MWI
Wajahatullah Wasti,1999-2000,21,25.0,1.0,678.0,133.0,28.25,2.0,1.0,1.0,PAK
JC Laker,1948-1959,46,63.0,15.0,676.0,63.0,14.08,0.0,2.0,6.0,ENG
B Niaz,2021-2025,39,34.0,3.0,676.0,72.0,21.8,0.0,3.0,5.0,BEL
J Rasu,2019-2024,39,38.0,4.0,675.0,74.0,19.85,0.0,2.0,4.0,VAN
JB Statham,1951-1965,70,87.0,28.0,675.0,38.0,11.44,0.0,0.0,13.0,ENG
Mudassar Bukhari,2007-2016,84,60.0,12.0,673.0,71.0,14.02,0.0,2.0,5.0,NED
TMK Mawoyo,2006-2016,18,29.0,1.0,673.0,163.0,24.03,1.0,3.0,3.0,ZIM
CMW Read,1999-2007,52,48.0,11.0,673.0,55.0,18.18,0.0,1.0,9.0,ENG
RA Sealy,2022-2026,40,34.0,2.0,673.0,73.0,21.03,0.0,3.0,3.0,CAY
IDM Latin,2022-2025,30,30.0,5.0,672.0,89.0,26.88,0.0,4.0,2.0,GIBR
CN Greaves,2021-2025,65,49.0,17.0,671.0,56.0,20.96,0.0,2.0,2.0,SCOT
AJ Hollioake,1996-1999,39,36.0,6.0,671.0,83.0,22.36,0.0,3.0,2.0,ENG
DW Lawrence,2021-2024,14,27.0,2.0,671.0,91.0,26.84,0.0,4.0,5.0,ENG
T Chanderpaul,2022-2025,13,25.0,2.0,670.0,207.0,29.13,1.0,2.0,2.0,WI
KC D'Souza,2020-2022,36,33.0,9.0,669.0,92.0,27.87,0.0,2.0,3.0,BUL
RM Dorji,2019-2026,40,40.0,1.0,669.0,73.0,17.15,0.0,3.0,3.0,BHU
H Verity,1931-1939,40,44.0,12.0,669.0,66.0,20.9,0.0,3.0,4.0,ENG
BA Carse,2021-2026,58,52.0,12.0,667.0,56.0,16.67,0.0,1.0,6.0,ENG
SA Engelbrecht,2023-2024,24,22.0,2.0,665.0,75.0,33.25,0.0,3.0,1.0,NED
Hussain Talat,2018-2026,35,33.0,5.0,665.0,63.0,23.75,0.0,3.0,1.0,PAK
BA Pocock,1993-1997,15,29.0,0.0,665.0,85.0,22.93,0.0,6.0,4.0,NZ
MHN Walker,1972-1981,51,54.0,16.0,665.0,78.0,17.5,0.0,1.0,6.0,AUS
JJ Kelly,1896-1905,36,56.0,17.0,664.0,46.0,17.02,0.0,0.0,7.0,AUS
DPB Morkel,1927-1932,16,28.0,1.0,663.0,88.0,24.55,0.0,4.0,3.0,SA
Tushar Imran,2001-2007,46,50.0,0.0,663.0,65.0,13.26,0.0,2.0,11.0,BAN
WP Masakadza,2015-2026,128,84.0,20.0,662.0,57.0,10.34,0.0,1.0,8.0,ZIM
DL Hemp,2006-2009,24,24.0,3.0,661.0,102.0,31.47,1.0,4.0,5.0,BER
Hamza Khan,2023-2025,36,35.0,5.0,661.0,75.0,22.03,0.0,3.0,3.0,RWN
KJ O'Keeffe,1971-1977,26,36.0,10.0,660.0,85.0,25.38,0.0,1.0,4.0,AUS
R Gunasekera,2008-2014,27,27.0,0.0,657.0,72.0,24.33,0.0,7.0,3.0,CAN
Shamsur Rahman,2013-2014,25,30.0,0.0,657.0,106.0,21.9,1.0,3.0,5.0,BAN
S Singh,2021-2025,53,44.0,7.0,657.0,54.0,17.75,0.0,1.0,4.0,KENYA
W Bates,1881-1887,15,26.0,2.0,656.0,64.0,27.33,0.0,5.0,0.0,ENG
KJ Stagno,2022-2024,25,24.0,1.0,656.0,101.0,28.52,1.0,3.0,2.0,GIBR
A Ashokan,2019-2023,31,30.0,6.0,655.0,55.0,27.29,0.0,3.0,0.0,CZK-R
Khurram Khan,2004-2015,19,19.0,2.0,655.0,132.0,38.52,1.0,3.0,0.0,UAE
C Milburn,1966-1969,9,16.0,2.0,654.0,139.0,46.71,2.0,2.0,1.0,ENG
Adnan Akmal,2010-2014,26,33.0,6.0,653.0,64.0,24.18,0.0,3.0,2.0,PAK
Hamza Dar,2019-2025,33,28.0,9.0,653.0,91.0,34.36,0.0,4.0,2.0,ESP
RJ Harris,2009-2015,51,53.0,19.0,653.0,74.0,19.2,0.0,3.0,2.0,AUS
JH Wardle,1948-1957,28,41.0,8.0,653.0,66.0,19.78,0.0,2.0,5.0,ENG
S Amarnath,1976-1978,13,21.0,0.0,650.0,124.0,30.95,1.0,4.0,1.0,IND
SB Bangar,2001-2004,27,33.0,4.0,650.0,100.0,22.41,1.0,4.0,5.0,IND
KM Dabengwa,2005-2010,48,47.0,10.0,650.0,45.0,17.56,0.0,0.0,5.0,ZIM
MN van Wyk,2003-2015,25,24.0,2.0,650.0,114.0,29.54,1.0,5.0,2.0,SA
Jahurul Islam,2010-2013,24,30.0,2.0,648.0,53.0,23.14,0.0,1.0,4.0,BAN
Khizer Ahmed,2019-2026,34,33.0,4.0,648.0,64.0,22.34,0.0,2.0,3.0,NOR
DA Murray,1973-1982,29,38.0,5.0,646.0,84.0,19.57,0.0,3.0,4.0,WI
Shamim Hossain,2021-2025,54,45.0,7.0,646.0,51.0,17.0,0.0,1.0,4.0,BAN
TN de Grooth,2006-2013,49,45.0,9.0,643.0,97.0,17.86,0.0,1.0,1.0,NED
GS Camacho,1968-1971,11,22.0,0.0,640.0,87.0,29.09,0.0,4.0,1.0,WI
S Prasanna,2011-2019,61,58.0,9.0,640.0,95.0,13.06,0.0,2.0,7.0,SL
M Simpson-Parker,2019-2025,41,34.0,5.0,640.0,65.0,22.06,0.0,5.0,4.0,AUT
SW Ambris,2017-2021,22,27.0,3.0,639.0,148.0,26.62,1.0,2.0,2.0,WI
TM Dowlin,2009-2010,19,24.0,3.0,639.0,100.0,30.42,1.0,4.0,2.0,WI
TK Musakanda,2016-2022,33,37.0,1.0,639.0,60.0,17.75,0.0,1.0,5.0,ZIM
MC Henriques,2009-2021,44,44.0,7.0,636.0,81.0,17.18,0.0,4.0,2.0,AUS
DM Wellham,1981-1987,23,28.0,2.0,636.0,103.0,24.46,1.0,1.0,0.0,AUS
Zahid Fazal,1990-1995,28,34.0,3.0,636.0,98.0,20.51,0.0,3.0,0.0,PAK
LN Constantine,1928-1939,18,33.0,0.0,635.0,90.0,19.24,0.0,4.0,4.0,WI
GR Dilley,1979-1989,77,76.0,27.0,635.0,56.0,12.95,0.0,2.0,12.0,ENG
Sanuar Hossain,1998-2003,36,45.0,2.0,635.0,52.0,14.76,0.0,1.0,3.0,BAN
